pool_identifier,pool_id,pool_name,active_stake,active_pledge,fixed_cost,margin,saturation,lifetime_luck,recent_luck,lifetime_roa,recent_roa
NGS発達障がい支援KGSP,pool16jefdagcsgzyek9jytzfezx5ajvfkytjgghaps64hzz6uzkpc0e,NGS発達障がい支援KGSP,5859533960381,98362442330,340000000,0.01,0.0767,0.9382628628083486,0.8505960768614851,2.318226677443716,1.3741454204465797
無双63 ADA POOL,pool1d9g45764jtjzagrmy5ndtrx4pua7l9sr4nh08l3mqs43xe6wnh9,無双63 ADA POOL,5868879804450,168257609600,340000000,0.015,0.0763,0.9947339914124245,1.0134106127948352,3.300939765182524,1.7992246312323283
RAKUDA,pool1rxgxstg6t7azlsrk4vuuwp0jgl9e776dg86zqzaa0qt6vz43n9r,RAKUDA,5818243679958,4134422751,340000000,0.9999,0.0755,0.9737048856039213,0.8364492007704596,0.000015554527507513453,0
Ouroboros-暗号通貨革命,pool1qu48wpwwarmkewhlwge9xs87sgt8gdnqq26nnre2v6c8up4fxwr,Ouroboros-暗号通貨革命,5778401862707,197846649092,340000000,0.02,0.0751,0.9796106537072105,1.01415985465352,3.214815989454112,2.1152180447407476
Nu.Fi & AdaLite C,pool1chtam5czevzk2ttctvltpsc8twlwf6zzyh7kj3jkz72gks975sn,Nu.Fi & AdaLite C,5855303960819,1008473835,340000000,0.03,0.0751,1.0099736493205922,1.158658076290388,3.433117279407289,1.99696393985804
CanadaStakes,pool12eht6dqxpzqj87xuextrpufz2gxmt4reuesuw26r2utzw0kw906,CanadaStakes,5859727989184,100152419289,200000000,0,0.0751,1.0018702000782649,0.9882246804984786,3.1135593595213127,1.7251638468335886
LoneStar Staking Pool,pool1q8a7ym63gurl72wr32je0tv0lp4p2uh8vzzc6rn6un7ryslvqmu,LoneStar Staking Pool,5733556705701,53618607509,340000000,0.02,0.0745,1.017841814191517,1.2340493064334426,2.5877317004904223,2.210256378137009
pool1pnzwgsgzd6t4788sfr7dxjyusepyq9xaxnpyfcngewqf29t9ayd,pool1pnzwgsgzd6t4788sfr7dxjyusepyq9xaxnpyfcngewqf29t9ayd,,5677284212574,94838488452,340000000,0.0095,0.0744,0.991394489416726,1.2299460436112732,3.2803816666937524,2.159229867252309
StakeNuts,pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,StakeNuts,5723700105569,360055137986,340000000,0.049,0.0743,1.0297139806544031,1.0596886129496244,4.069253104784969,1.6922542736249153
Cardano Media Taiwan,pool15k0zeppza4qzgf6z7wmwsgvl5rz9f6489zxhrxqa8dj6jzju6ct,Cardano Media Taiwan,5872650593687,41399700652,340000000,0.01,0.0742,0.9473616143283967,0.9581593622769382,2.27666908947963,1.6881910264397337
BRADA POOL,pool1wz27a9pvd2jat98s375lxaaj7qxy405km4vzp83wn5vtwp59kvh,BRADA POOL,5666317280283,841212940,500000000,0,0.0733,0.972553398363255,0.9431951004440152,3.780313842481486,1.466596333164322
RIPI Stake Pool,pool1tj3u8pz6732uy2ut3s90e0j880jyu9j0ve9vtu9zj5xzglhdlqy,RIPI Stake Pool,5594208644229,3171646712,340000000,0,0.0727,0.9765344422941794,1.0308157740639787,2.9188332472409773,1.6118126977625553
Staking 24/7,pool1fuzqy5r9x98826zv6wp40tr27uplemmstkd57cuw8jh5v5m90vn,Staking 24/7,5580361690973,1239033691016,340000000,0.005,0.0725,0.997007396284419,1.0327899317337785,3.2760743837577158,1.7559801512390714
TAM Stake Pool,pool18xjkr4xpscwxsatewj9lqc6z74vw90qycjd0wrypeqej673j5u8,TAM Stake Pool,5557845710914,2471126820,340000000,0.03,0.0723,1.0185962295969018,1.036373964501395,3.2552102891795713,1.6550189785498404
WSKS,pool1py6q7y3f7jz60mt5jhsrdx6lqtuvc02chqgvwzjzayctqhgzzge,WSKS,5417061387582,7776430784,500000000,0.9999,0.0721,0.9643608395674078,1.1318069216272906,1.5298725903911559,0
Blockchain Better Have My Money 💰,pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,Blockchain Better Have My Money 💰,5572484838233,551023402420,340000000,0.01,0.0718,0.9815949888855864,1.2038085877481322,2.624730081523561,2.1235109872517874
Iagon liquidity stake pool 1,pool1ztk6dcj2nc3plnujf3ek6jqngtx8hcryufz56lyumemlcy2xxn0,Iagon liquidity stake pool 1,5622352901883,20724640,340000000,0.99,0.0717,0.9827822474474558,1.0985177932922865,0.02817206905940848,0.0215585966836359
pool1yraracv4ntq9azvjw2nkw8g4xluujalz8fpt2stz8rw6k0zueuv,pool1yraracv4ntq9azvjw2nkw8g4xluujalz8fpt2stz8rw6k0zueuv,,5504027727069,5500592329009,340000000,1,0.0716,0.9777292881053575,1.0305493845782747,0,0
ADA Ocean One,pool1zk6uxgptztrxxamzd0ugrtu84xg8mjymd2xcdvxqazpruqt9r3x,ADA Ocean One,5482873403562,10099809595,500000000,0.039,0.0713,1.0020633575506834,0.9075961078042998,4.22296822359138,1.2281284889685964
無双63 ADA POOL,pool1hjpax8lf2hmct63xxrspe9zzmmywcrzw89yg3nacu0axzy0latu,無双63 ADA POOL,5431166444651,94897842768,340000000,0.02,0.0706,1.019028979687161,0.9901524153625745,2.3998871062743294,1.4649694127917796
1 Percent Pool #6 (v1),pool1ua0lx5ap5tj9f5l7tyjflp766ca5yu93djh5hqvm4e0kjgw5k7v,1 Percent Pool #6 (v1),5665095186993,67227138979,340000000,0.01,0.0697,0.9949207468342384,0.9411856484074322,4.4353216787500775,1.5185912971778006
Masterstake,pool1qqqq4md2rfdt75qvh3x9cgmkrgkl74ctcj3fnxpu3ylcudl22ex,Masterstake,5347434673347,10015018444,340000000,0.02,0.0695,0.9981272680827442,1.2018331035292187,3.7901863705196535,2.0077561767329515
1 Percent Pool #6 (v3),pool1nyf8x2xrlmfqwy9shqrlx2csentnzyjmxr0r3w0ljuaqz5ek7qz,1 Percent Pool #6 (v3),5278060298803,67036109979,340000000,0.01,0.0684,0.9897339334054408,0.9070608515037772,3.645140960000929,1.4405511684920198
ADA Pool Europe,pool18gysxqfwz4j8rm3vlh6677vs9n23prvfr7gwe88mhn5uudgx9ng,ADA Pool Europe,5361138681534,33286052146,170000000,0.019495,0.0683,1.0114277459758299,0.9740361440065705,2.4146684343735187,1.7614151291123237
AZDFM stake pool,pool1hnnfvsq3xlln6vz7d2xmk6kqekd5z4ctmfpdad8g8kr0yk8kdfd,AZDFM stake pool,5192114247490,2184248264,170000000,0.02,0.0675,0.9603381632187263,1.1526733627774506,3.1114013814691885,2.4558941813712702
ATARASHIIMONO Stake Pool,pool1pgmuramw9waw9ckxsvpxmcn9p6fd4xl5jmavu8jje0x5vuc00l0,ATARASHIIMONO Stake Pool,5224902048455,2187420628,340000000,0.03,0.0672,1.0036976183403394,1.2344685253430476,2.6404620170479194,2.01635320495844
RAMEN by 🥝Kiwipool Staking,pool1y53awxsm6cmksp8qht8qfq5f5c69t6mrgrdcresk5y0ecv2yj93,RAMEN by 🥝Kiwipool Staking,5024668865436,222686500699,340000000,0.02,0.0669,1.0041523731229447,1.101371741915129,3.91957241554177,1.930006047065659
POP4,pool12lsfsh2s8yt8dvrt9m8kgrgr6ktntngvn2vad60xlqz7kxz9fxr,POP4,5120159368027,55983841265,340000000,0.05,0.0666,0.9781498494312146,1.1576094613453958,3.810483116605906,1.7947139178693674
NAP2-Nekota ADA Pool,pool1y49e700dnx8lpvznmysgzw203mjq6l7um85ka4ys6x0zcwgs77w,NAP2-Nekota ADA Pool,5205170450676,21656940979,340000000,0.03,0.0664,0.983383981697711,0.8587419804490714,3.236130976792563,1.5119254681275387
1 Percent Pool #8 (v1),pool1ddgcpgjcyawxw95se9x8qnc8gxgwjr4fqrk4vk6v9x47s0ggpjp,1 Percent Pool #8 (v1),5083197182599,67169081900,340000000,0.01,0.0661,0.9742487516128309,1.0009858186131921,4.532483172147129,1.5009578648495483
💰 Plutus Staking #1 💰,pool1uq8l234306m76unyz8kuwnkvmtvazaks6vuvyx3a3khngavvcw0,💰 Plutus Staking #1 💰,5101629527428,1501685646834,500000000,0.01,0.0661,0.997281927821802,1.072494598160283,3.814974456458652,1.5111980742183546
mimosa,pool1pj5jnehwjtt4esfl0325hr338n98v3kcww3sggce59ugyf2f883,mimosa,5090649323767,5898239163,340000000,1,0.066,0.9470602235944413,1.015339849114222,0.43433793556736067,0
Hazelpool,pool1h6q8jj55dn6727yydlypu0rz4sflf2enxhs0thqydmddgu3shl5,Hazelpool,5025956660680,424347290790,170000000,0.03,0.0658,1.0433835984242907,1.2006165186305324,2.8512316949037615,2.332010236862418
Create Planets Stakepool,pool1qqlf3epa7m8780p2jx5689u2ql06tw026l5377tptk2zswrc645,Create Planets Stakepool,5051164671703,8235704970,340000000,0.03,0.0657,0.9856418522612489,0.7871877037605622,3.8033887764447236,1.2052157609569263
BCW Technologies,pool1wun8t7nt4daw2zgv0vj7cmwru97vsw0fccucjzuvs7y0qlc8xyv,BCW Technologies,5027902239363,9063721658,340000000,0.05,0.0653,0.9376628558725469,0.9090662942425094,1.6604381993496913,1.5316131700483047
LegaSystems,pool1ytszp582dm9u5un6mevt9czgcnuqhflwfr9ly4ukpeqcughryqh,LegaSystems,4995459050833,913956044753,340000000,0.02,0.0649,0.9147069639002234,0.9758933114549828,2.5664822263087506,1.4589182870668327
Diamond,pool1l3wdq3cec23jadkt2cx384vtgd75ncau33smrptwj87n2wedc0d,Diamond,4987001009606,47143149416,340000000,1,0.0649,0.9919111446409242,0.9988754898724928,0,0
POP3,pool1a600v0jd2z3yajazd80phln3exekumm7g56d9yvlrh6vx8dx2fc,POP3,4954138499966,56235059305,340000000,0.05,0.0643,1.0006115514972476,1.0438970672145982,4.340124915420877,1.6000437501055396
PlanningT,pool16cerhwlk8nq7rpuerr4g08tpgeq7awnhgxzkyalc8n8xjwzxqm3,PlanningT,4840606309900,9042550292,340000000,1,0.0629,0.9765723084113377,1.0449603335198487,0,0
MIYABI KYOTO,pool1mcwcfl96ew79rmj4zxehr33p55e4e62dt4whyr2vqesswp9mmvz,MIYABI KYOTO,4811625456434,4423126912,340000000,0,0.0625,0.9632528590421863,1.1378302964277565,2.706061573198976,1.9269865947795182
P2P & CEX,pool1nhlv5z2lsptzgcp9ype0mppc7zyndm66ypm4sw5hy27ewdchqx0,P2P & CEX,4768064888394,13883021414,340000000,0.035,0.0619,0.9560632209142937,1.0706870409011544,3.9672828231380755,1.858704773372737
GranADA Pool,pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GranADA Pool,4663445180634,31394231679,340000000,0,0.0615,1.0133454245597255,1.0486313041592334,2.841249914110931,1.8090011130880346
Late Game Crypto,pool13xzckaj3srgldr67dksx874jxe3c9xnc245xyr44p7cdxh07hft,Late Game Crypto,4686883531382,6073191695,240000000,0.055,0.0609,0.9869626110188726,0.8825815124437514,1.784435712035319,1.575439344288583
