pool_id,pool_identifier,epoch_no,delegators_t,delegators_lag1,delta_delegators,delta_log_delegators,lag1_luck,lag1_log_pledge,lag1_log_stake,lag1_margin_proxy,lag1_block_minted,lag1_log_delegators,has_lag2,lag2_luck,lag2_log_stake,lag2_log_delegators
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,609,57.0,56.0,1.0,0.01739174271186883,1.1405,2.381065072551505,18.881615639899362,1.148,170.0,4.04305126783455,0,,,
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,610,58.0,57.0,1.0,0.01709443335930061,1.0242,2.381032528897935,18.881283641529887,1.029,152.0,4.060443010546419,1,1.1405,18.881615639899362,4.04305126783455
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,613,58.0,59.0,-1.0,-0.01680711831638071,0.9228,7.877525235037525,18.584620422072838,1.24,147.0,4.0943445622221,0,,,
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,614,58.0,58.0,0.0,0.0,1.033,2.381032528897935,18.41215020479623,1.648,150.0,4.07753744390572,1,0.9228,18.584620422072838,4.0943445622221
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,Figment 2,615,58.0,58.0,0.0,0.0,0.9722,2.3641701945785463,18.562217355400275,1.332,115.0,4.07753744390572,1,1.033,18.41215020479623,4.07753744390572
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,609,4455.0,4337.0,118.0,0.02683809022030026,1.2533,2.381065072551505,17.989661527564135,2.46,76.0,8.37516869138682,0,,,
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,610,4508.0,4455.0,53.0,0.01182389681396323,0.8148,2.381032528897935,18.022147950584063,1.596,50.0,8.40200678160712,1,1.2533,17.989661527564135,8.37516869138682
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,613,4838.0,4719.0,119.0,0.02489928821371734,1.0834,2.381065072551505,18.11491785008677,2.186,76.0,8.459564078579602,0,,,
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,614,4943.0,4838.0,105.0,0.021466632344207426,1.1364,2.381065072551505,18.188442883334407,2.162,81.0,8.48446336679332,1,1.0834,18.11491785008677,8.459564078579602
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,Ledger by Figment 4,615,5044.0,4943.0,101.0,0.02022293365018335,1.0683,2.381065072551505,18.227374053687186,2.038,79.0,8.505929999137527,1,1.1364,18.188442883334407,8.48446336679332
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,609,4088.0,4090.0,-2.0,-0.0004889975647550671,1.1094,9.306236009548476,18.132415435065823,2.552,84.0,8.316544717929398,0,,,
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,610,4081.0,4088.0,-7.0,-0.0017133769948536326,0.9519,9.306236009548476,18.132891742435742,2.184,72.0,8.316055720364643,1,1.1094,18.132415435065823,8.316544717929398
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,613,4088.0,4088.0,0.0,0.0,1.0055,9.306236009548476,18.12447284410507,2.289,76.0,8.316055720364643,0,,,
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,614,4090.0,4088.0,2.0,0.0004889975647550671,1.0733,9.306236009548476,18.12620431946274,2.438,81.0,8.316055720364643,1,1.0055,18.12447284410507,8.316055720364643
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,615,4091.0,4090.0,1.0,0.00024440914211965037,1.0715,9.306236009548476,18.17167209463859,2.316,80.0,8.316544717929398,1,1.0733,18.12620431946274,8.316055720364643
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,609,3536.0,3541.0,-5.0,-0.001412629137298893,0.7731,12.445906337992735,18.154586800790458,1.769,60.0,8.17244681834278,0,,,
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,610,3532.0,3536.0,-4.0,-0.001131541846335793,0.737,12.447570392182994,18.17375177800709,1.649,57.0,8.17103418920548,1,0.7731,18.154586800790458,8.17244681834278
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,613,3530.0,3526.0,4.0,0.001133465692333857,0.8619,12.452280595427114,18.158081206834105,1.954,67.0,8.168202930236053,0,,,
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,614,3534.0,3530.0,4.0,0.0011321824022871851,0.9894,12.453954381434384,18.161410879830996,2.238,77.0,8.169336395928386,1,0.8619,18.158081206834105,8.168202930236053
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,615,3531.0,3534.0,-3.0,-0.0008490166068231275,1.1138,12.455664485343219,18.155690840710566,2.534,86.0,8.170468578330674,1,0.9894,18.161410879830996,8.169336395928386
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,609,1885.0,1883.0,2.0,0.0010610080570945257,0.8162,15.436295832254292,18.152289111441657,1.907,63.0,7.5411524551363085,0,,,
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,610,1885.0,1885.0,0.0,0.0,0.8595,15.436639665615598,18.151783039604673,2.002,66.0,7.542213463193403,1,0.8162,18.152289111441657,7.5411524551363085
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,613,1887.0,1885.0,2.0,0.0010598835120427808,1.1121,15.437560654682512,18.149022771599235,2.584,86.0,7.542213463193403,0,,,
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,614,1889.0,1887.0,2.0,0.001058761348242676,1.0069,15.437881020399786,18.158434082398834,2.314,78.0,7.543273346705446,1,1.1121,18.149022771599235,7.542213463193403
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,615,1893.0,1889.0,4.0,0.002114165692335135,1.0063,15.43817568947093,18.15483859129939,2.308,77.0,7.5443321080536885,1,1.0069,18.158434082398834,7.543273346705446
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,609,7.0,5.0,2.0,0.2876820724517808,1.0283,18.15020316747333,18.15023661834118,0.0,79.0,1.791759469228055,0,,,
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,610,8.0,7.0,1.0,0.11778303565638382,0.7049,18.15020316747333,18.150245904831973,0.0,54.0,2.0794415416798357,1,1.0283,18.15023661834118,1.791759469228055
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,613,9.0,10.0,-1.0,-0.09531017980432477,1.126,18.15020316747333,18.150377026012098,0.0,87.0,2.3978952727983707,0,,,
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,614,9.0,9.0,0.0,0.0,1.0482,18.15020316747333,18.15038038072125,0.0,81.0,2.302585092994046,1,1.126,18.150377026012098,2.3978952727983707
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,615,9.0,9.0,0.0,0.0,1.0441,18.15020316747333,18.150381295422633,0.0,80.0,2.302585092994046,1,1.0482,18.15038038072125,2.302585092994046
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,609,4.0,4.0,0.0,0.0,1.2496,18.150203172603124,18.150203172603124,0.0,96.0,1.6094379124341003,0,,,
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,610,4.0,4.0,0.0,0.0,0.979,18.150203172603124,18.150203172603124,0.0,75.0,1.6094379124341003,1,1.2496,18.150203172603124,1.6094379124341003
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,613,4.0,4.0,0.0,0.0,0.8802,18.150203172603124,18.150203172603124,0.0,68.0,1.6094379124341003,0,,,
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,614,4.0,4.0,0.0,0.0,0.9707,18.150203172603124,18.150203172603124,0.0,75.0,1.6094379124341003,1,0.8802,18.150203172603124,1.6094379124341003
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,615,4.0,4.0,0.0,0.0,0.979,18.150203172603124,18.150203172603124,0.0,75.0,1.6094379124341003,1,0.9707,18.150203172603124,1.6094379124341003
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,609,4.0,4.0,0.0,0.0,0.82,18.150203166844598,18.150203166844598,0.0,63.0,1.6094379124341003,0,,,
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,610,4.0,4.0,0.0,0.0,1.1618,18.150203166844598,18.150203166844598,0.0,89.0,1.6094379124341003,1,0.82,18.150203166844598,1.6094379124341003
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,613,4.0,4.0,0.0,0.0,0.8673,18.150203166844598,18.150203166844598,0.0,67.0,1.6094379124341003,0,,,
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,614,4.0,4.0,0.0,0.0,1.1002,18.150203166844598,18.150203166844598,0.0,85.0,1.6094379124341003,1,0.8673,18.150203166844598,1.6094379124341003
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,615,4.0,4.0,0.0,0.0,1.1226,18.150203166844598,18.150203166844598,0.0,86.0,1.6094379124341003,1,1.1002,18.150203166844598,1.6094379124341003
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,609,4.0,4.0,0.0,0.0,1.1324,18.150203164822475,18.150203164822475,0.0,87.0,1.6094379124341003,0,,,
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,610,4.0,4.0,0.0,0.0,0.9921,18.150203164822475,18.150203164822475,0.0,76.0,1.6094379124341003,1,1.1324,18.150203164822475,1.6094379124341003
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,613,4.0,4.0,0.0,0.0,0.9191,18.150203164822475,18.150203164822475,0.0,71.0,1.6094379124341003,0,,,
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,614,4.0,4.0,0.0,0.0,0.906,18.150203164822475,18.150203164822475,0.0,70.0,1.6094379124341003,1,0.9191,18.150203164822475,1.6094379124341003
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,615,4.0,4.0,0.0,0.0,1.0573,18.150203164822475,18.150203164822475,0.0,81.0,1.6094379124341003,1,0.906,18.150203164822475,1.6094379124341003
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,609,1.0,1.0,0.0,0.0,0.9759,18.150570316498015,18.1506061799223,0.0,75.0,0.6931471805599453,0,,,
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,610,1.0,1.0,0.0,0.0,1.0957,18.150985450538954,18.150584901713696,0.0,84.0,0.6931471805599453,1,0.9759,18.1506061799223,0.6931471805599453
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,613,1.0,1.0,0.0,0.0,1.0739,18.15063347871224,18.150504662145188,0.0,83.0,0.6931471805599453,0,,,
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,614,1.0,1.0,0.0,0.0,0.8409,18.15062895083337,18.150621828668825,0.0,65.0,0.6931471805599453,1,1.0739,18.150504662145188,0.6931471805599453
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,615,1.0,1.0,0.0,0.0,0.9787,18.150504662145188,18.150525944448034,0.0,75.0,0.6931471805599453,1,0.8409,18.150621828668825,0.6931471805599453
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,609,1.0,1.0,0.0,0.0,1.015,18.15052679633204,18.15054119321155,0.0,78.0,0.6931471805599453,0,,,
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,610,1.0,1.0,0.0,0.0,0.8739,18.150979870895505,18.150535959301187,0.0,67.0,0.6931471805599453,1,1.015,18.15054119321155,0.6931471805599453
